date,store,item,forecast_sales
2018-01-01,1,1,14.81
2018-01-02,1,1,12.74
2018-01-03,1,1,14.18
2018-01-04,1,1,14.03
2018-01-05,1,1,21.76
2018-01-06,1,1,19.74
2018-01-07,1,1,20.84
2018-01-08,1,1,15.32
2018-01-09,1,1,12.56
2018-01-10,1,1,13.92
2018-01-11,1,1,15.52
2018-01-12,1,1,13.71
2018-01-13,1,1,13.63
2018-01-14,1,1,24.19
2018-01-15,1,1,12.06
2018-01-16,1,1,14.29
2018-01-17,1,1,15.22
2018-01-18,1,1,13.92
2018-01-19,1,1,18.23
2018-01-20,1,1,17.66
2018-01-21,1,1,21.17
2018-01-22,1,1,10.31
2018-01-23,1,1,16.56
2018-01-24,1,1,13.85
2018-01-25,1,1,14.35
2018-01-26,1,1,12.4
2018-01-27,1,1,15.42
2018-01-28,1,1,21.34
2018-01-29,1,1,11.25
2018-01-30,1,1,16.37
2018-01-31,1,1,14.72
2018-02-01,1,1,15.18
2018-02-02,1,1,21.96
2018-02-03,1,1,22.77
2018-02-04,1,1,22.0
2018-02-05,1,1,14.86
2018-02-06,1,1,13.25
2018-02-07,1,1,16.96
2018-02-08,1,1,16.31
2018-02-09,1,1,16.44
2018-02-10,1,1,17.23
2018-02-11,1,1,20.27
2018-02-12,1,1,11.82
2018-02-13,1,1,14.51
2018-02-14,1,1,18.77
2018-02-15,1,1,16.31
2018-02-16,1,1,15.25
2018-02-17,1,1,18.55
2018-02-18,1,1,19.98
2018-02-19,1,1,9.86
2018-02-20,1,1,14.71
2018-02-21,1,1,14.01
2018-02-22,1,1,16.87
2018-02-23,1,1,15.84
2018-02-24,1,1,17.39
2018-02-25,1,1,23.19
2018-02-26,1,1,11.95
2018-02-27,1,1,16.74
2018-02-28,1,1,16.29
2018-03-01,1,1,20.34
2018-03-02,1,1,20.35
2018-03-03,1,1,17.3
2018-03-04,1,1,21.45
2018-03-05,1,1,13.14
2018-03-06,1,1,12.98
2018-03-07,1,1,16.75
2018-03-08,1,1,17.0
2018-03-09,1,1,18.07
2018-03-10,1,1,16.06
2018-03-11,1,1,20.46
2018-03-12,1,1,15.12
2018-03-13,1,1,18.7
2018-03-14,1,1,21.65
2018-03-15,1,1,21.69
2018-03-16,1,1,19.03
2018-03-17,1,1,18.9
2018-03-18,1,1,22.44
2018-03-19,1,1,15.8
2018-03-20,1,1,15.53
2018-03-21,1,1,20.05
2018-03-22,1,1,20.4
2018-03-23,1,1,20.67
2018-03-24,1,1,19.6
2018-03-25,1,1,20.52
2018-03-26,1,1,17.55
2018-03-27,1,1,15.93
2018-03-28,1,1,14.09
2018-03-29,1,1,17.5
2018-03-30,1,1,16.23
2018-03-31,1,1,14.57
2018-01-01,2,1,15.1
2018-01-02,2,1,19.83
2018-01-03,2,1,18.5
2018-01-04,2,1,20.48
2018-01-05,2,1,28.8
2018-01-06,2,1,26.15
2018-01-07,2,1,23.88
2018-01-08,2,1,18.47
2018-01-09,2,1,21.73
2018-01-10,2,1,19.01
2018-01-11,2,1,20.52
2018-01-12,2,1,28.22
2018-01-13,2,1,24.91
2018-01-14,2,1,23.86
2018-01-15,2,1,15.83
2018-01-16,2,1,20.78
